Temp_Min,Temp_Max,RH_Min,RH_Max,Wind_Speed,Rainfall,No_of_rainy_days,Sunshine_Hrs,Inc_Per
15.97,31.40,25.57,56.29,8.06,4.30,1.00,9.21,18.08
20.09,35.00,30.00,58.43,10.15,0.00,0.00,9.19,17.14
21.89,37.26,24.00,36.29,7.71,0.00,0.00,8.93,14.20
22.63,37.14,20.57,39.71,6.71,0.00,0.00,8.79,16.41
22.46,38.31,27.14,49.71,8.19,0.00,0.00,8.50,13.79
22.23,38.86,25.71,59.43,8.89,11.00,2.00,8.10,12.55
20.94,35.74,34.00,62.29,7.92,6.70,1.00,17.67,10.16
24.34,40.43,22.86,53.14,7.71,0.00,0.00,8.83,12.19
23.40,40.51,26.14,50.43,8.08,0.00,0.00,8.99,15.31
22.43,41.37,23.29,43.71,7.93,0.00,0.00,8.27,18.30
24.97,38.63,40.86,63.71,8.40,0.00,0.00,5.16,20.27
25.74,42.34,34.14,63.14,11.32,0.00,0.00,9.81,10.55
23.97,42.03,31.86,63.14,12.41,8.00,2.00,9.04,7.25
23.14,39.80,32.14,61.43,11.48,7.00,1.00,9.06,0.93
23.00,36.06,48.43,74.14,9.35,10.20,3.00,7.10,0.75
22.83,32.26,52.14,74.57,12.60,11.80,1.00,3.57,0.74
22.91,34.40,44.71,70.71,17.40,0.50,1.00,5.80,56.50
22.46,36.17,40.43,68.43,12.81,2.10,1.00,9.29,6.01
23.03,35.46,43.43,68.00,16.61,0.00,0.00,9.16,6.13
23.43,35.51,48.71,70.14,13.90,0.00,0.00,6.76,6.50
23.26,34.20,56.71,72.57,14.28,0.00,0.00,5.06,18.79
22.51,34.77,48.29,70.14,14.77,0.50,1.00,4.91,9.36
22.80,34.51,51.57,73.86,14.06,1.80,1.00,2.06,10.19
22.57,35.37,52.43,81.57,9.78,10.80,2.00,5.60,11.21
22.49,35.59,44.43,75.14,9.46,31.40,2.00,6.86,12.39
22.23,34.46,50.71,77.43,10.69,41.30,4.00,4.69,10.79
22.54,35.51,42.43,67.14,8.35,0.00,0.00,8.03,11.14
21.97,32.89,60.57,84.57,6.06,108.20,5.00,7.84,4.71
21.80,31.89,60.57,80.43,8.71,46.40,3.00,9.23,4.32
22.06,34.03,47.00,75.14,6.70,0.00,0.00,7.44,3.45
22.20,34.60,45.14,73.57,7.01,57.80,3.00,5.93,2.94
20.29,34.00,50.17,75.57,5.47,101.40,1.00,7.50,2.72
22.11,35.31,49.00,75.14,5.05,0.00,0.00,7.64,2.46
21.80,35.49,45.71,71.00,5.99,0.00,0.00,8.84,1.52
21.03,34.34,48.86,75.86,5.91,0.00,0.00,7.84,0.71
21.46,34.71,44.43,75.14,6.39,0.00,0.00,7.66,0.50
18.86,34.11,48.86,66.29,8.40,0.00,0.00,7.86,0.89
19.40,32.49,56.71,80.57,7.47,6.20,1.00,6.60,22.85
19.69,32.77,59.86,82.43,5.85,5.60,1.00,8.16,23.07
19.63,32.94,66.29,81.57,6.52,0.00,0.00,7.86,28.93
18.03,32.83,62.14,79.86,5.86,0.00,0.00,6.80,31.87
19.20,34.54,60.43,78.86,4.96,0.00,0.00,8.23,33.52
14.69,31.80,57.14,71.86,6.51,0.00,0.00,7.87,31.09
15.00,33.77,58.86,70.00,6.25,0.00,0.00,9.16,31.16
15.91,31.67,66.86,79.00,5.52,0.00,0.00,7.60,30.49
15.71,31.17,67.57,81.00,6.66,0.00,0.00,7.30,29.79
15.77,30.60,64.86,77.29,6.57,0.00,0.00,7.40,32.59
16.44,34.23,57.71,77.14,5.65,0.00,0.00,8.69,33.38
16.94,35.30,67.86,78.29,5.93,0.00,0.00,8.81,35.10
18.36,35.17,67.00,85.86,5.93,0.00,0.00,8.40,36.87
19.94,35.83,70.57,81.00,9.25,0.00,0.00,9.20,34.24
21.71,38.11,53.29,80.29,6.53,0.00,0.00,8.27,33.31
21.89,36.29,52.00,85.86,8.30,0.00,0.00,8.30,32.13
23.20,38.83,38.86,77.71,6.38,0.00,0.00,8.44,32.83
20.71,39.29,34.71,78.14,8.53,0.00,0.00,8.59,32.25
24.20,40.89,37.57,74.43,8.11,0.00,0.00,7.80,33.35
24.31,41.14,36.43,77.29,6.98,0.00,0.00,8.23,32.97
24.26,40.43,41.71,82.86,8.08,0.00,0.00,7.21,31.56
25.23,42.37,33.29,79.29,8.11,0.00,0.00,9.84,33.12
26.03,42.69,38.14,82.57,10.00,0.00,0.00,8.76,33.51
27.00,42.64,37.43,81.86,8.05,0.00,0.00,9.33,29.20
26.17,41.46,38.00,78.43,7.76,0.00,0.00,9.24,1.06
26.64,41.70,42.00,88.29,7.10,0.00,0.00,6.97,0.67
26.63,42.07,42.29,89.71,12.37,0.00,0.00,7.90,0.65
25.17,40.71,49.57,91.14,12.97,0.00,0.00,10.46,0.19
23.23,38.37,52.71,92.43,10.82,92.20,3.00,7.29,0.15
23.57,34.97,58.29,92.29,9.09,0.00,0.00,2.00,0.15
23.40,35.47,58.43,91.71,12.77,18.10,1.00,6.59,0.14
22.60,34.06,55.29,89.71,9.66,9.20,1.00,5.16,0.18
22.69,32.60,65.29,93.57,5.97,0.00,0.00,2.54,0.19
22.09,31.11,63.86,94.29,10.66,0.00,0.00,1.97,0.18
21.89,33.54,59.00,90.57,11.16,0.00,0.00,6.09,0.18
21.37,30.63,64.29,92.43,7.73,155.90,0.00,1.03,0.20
22.00,30.91,62.43,91.43,7.26,47.30,2.00,2.80,0.21
21.90,31.94,59.43,82.43,12.11,10.00,3.00,4.71,0.20
20.47,31.66,63.00,91.43,10.44,0.00,0.00,5.39,0.25
19.97,33.34,57.43,89.00,10.84,5.40,1.00,7.63,0.25
21.66,33.14,58.71,90.00,7.67,20.40,3.00,7.41,0.29
21.07,32.23,61.14,90.43,6.58,0.00,0.00,3.93,0.31
19.71,33.00,54.00,89.86,7.47,5.80,1.00,6.09,0.42
20.54,29.37,61.14,91.43,5.70,91.50,4.00,1.90,0.38
20.51,29.31,70.14,94.29,5.66,89.00,6.00,2.04,0.44
21.00,30.60,70.71,92.29,5.53,95.10,3.00,6.33,0.47
20.71,30.57,70.57,93.14,5.21,3.80,1.00,6.04,0.60
19.47,33.29,65.71,91.86,3.36,0.00,0.00,8.24,0.85
17.94,33.80,64.29,93.57,3.85,0.00,0.00,8.66,1.15
